,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
TCGA-BH-A0B5-01A-11D-A12Q-09,0.0016954981702596316,0.001695122866974581,0.772188509467711,0.0016954902683304085,0.0016954985712249707,0.11862810433601145,0.0016953786143310554,0.09731544363216768,0.0016955480063744423,0.0016954060666148052
TCGA-A2-A0YT-01A-11D-A10G-09,0.2641061944542664,0.0017245660633332526,0.0017247764283307987,0.0017246920138690846,0.0017246111695682583,0.0017246853659777784,0.5487801184117362,0.17504118715236594,0.0017245955672203443,0.0017245733733320323
TCGA-A8-A083-01A-21W-A019-09,0.0033343478421701375,0.0033340318802712104,0.003333903367787439,0.0033345908386921675,0.8397680686031733,0.003334485464506728,0.003334539060801926,0.003334255828916415,0.0033343823523366797,0.13355739476134382
TCGA-BH-A0B4-01A-11W-A019-09,0.0014713552163633716,0.001470980101532054,0.04811143816120071,0.16262798002921922,0.26346985789057764,0.0014710619480296466,0.5169639059175861,0.0014711531442598794,0.0014710442595929187,0.0014712233316384706
TCGA-EW-A1P8-01A-11D-A142-09,0.0028587000410023114,0.0028577182487904114,0.002858136374736106,0.002857910956700154,0.0028581613370591906,0.21503465380440107,0.7621003311341209,0.002858103453716277,0.002858040336028523,0.002858244313444953
TCGA-BH-A0GZ-01A-11W-A071-09,0.0031259495295063422,0.20165917528001884,0.003126241059239811,0.0031258870982009603,0.3020559075493342,0.0031257115966990814,0.4744035858188988,0.0031261938949323806,0.0031257942373720403,0.003125553935797608
TCGA-A2-A0CV-01A-31D-A10Y-09,0.004546904490185554,0.004546239901115305,0.004546665384693986,0.0045469520734189904,0.0045467758308838,0.004547023674192628,0.197378992371175,0.7662469380310347,0.00454687249001049,0.004546635753289387
TCGA-C8-A12Q-01A-11D-A10Y-09,0.09873872019259629,0.0008853463223693171,0.5978899158666493,0.09506799900724067,0.13533746185107315,0.0008852434228577235,0.0008852140462229287,0.06853967968210213,0.0008852272653345947,0.0008851923435537867
TCGA-AR-A1AL-01A-21D-A12Q-09,0.0037039570320122482,0.003704571146690426,0.090287849183873,0.0037050526165503545,0.558582675129614,0.003705012733964371,0.0037048644073904295,0.32519619941931405,0.0037052452348700286,0.003704573095721174
TCGA-BH-A1F6-01A-11D-A13L-09,0.002632157195938105,0.002632312128776586,0.0026324715963739176,0.0026322012461940532,0.0026325012361722087,0.002632394282564395,0.751060072475897,0.2278810988945072,0.0026321327040991073,0.0026326582394774257
